id,names,type,party
ul,Ursula von der Leyen,1,CDU
lk,Lars Kingbell,1,SPD
nr,Nobert Röttgen,1,CDU
sw,Sarah Wagenknecht,1,Die Linke
cs,Constanze Stelzenmüller,NA,NA
cl,Christian Lindner,1,FDP
ab,Nobert Röttgen,1,CDU
al,Annalena Baerbock,1,Grüne
ft,Frans Timmermans,1,SPD
am,Andrij Melnyk,1,NA
al,Alexander Graf Lambsdorff,1,FDP
er,Egon Ramms,NA,NA
rh,Robert Habeck,1,Grüne
rk,Roderich Kiesewetter,1,SPD
ks,Karl Schlögel,1,CDU
lm,Ljudmyla Melnyk,NA,NA
kd,Kristina Dunz,NA,NA
el,Egils Levits,NA,NA
cm,Claudia Major,NA,NA
kp,Katja Petrowskaja,NA,NA
CDU,CDU,2,NA
SPD,SPD,2,NA
FDP,FDP,2,NA
dl,Die Linke,2,NA
dg,Bündnis90/Die Grünen,2,NA
500,Folge 500,3,NA
501,Folge 501,3,NA
502,Folge 502,3,NA
503,Folge 503,3,NA
